# Time, Phi
1.849849849849849903e+01,1.903238469255252197e+00
1.857857857857857908e+01,1.921747617840831923e+00
1.865865865865865914e+01,1.940709050373308209e+00
1.873873873873873919e+01,1.959966476075852393e+00
1.881881881881881924e+01,1.979364478213489154e+00
1.889889889889889929e+01,1.998750028608577756e+00
1.897897897897897934e+01,2.017973942613285665e+00
1.905905905905905939e+01,2.036892261581443098e+00
1.913913913913913944e+01,2.055367550905857765e+00
1.921921921921921950e+01,2.073270102804424475e+00
1.929929929929929955e+01,2.090479034235948497e+00
1.937937937937937960e+01,2.106883271590739071e+00
1.945945945945945965e+01,2.122382415117741061e+00
1.953953953953953970e+01,2.136887477404863400e+00
1.961961961961961975e+01,2.150321491608107483e+00
1.969969969969969981e+01,2.162619986513770520e+00
1.977977977977977986e+01,2.173731326902533567e+00
1.985985985985985991e+01,2.183616919051034611e+00
1.993993993993993996e+01,2.192251282542460711e+00
2.002002002002002001e+01,2.199621990850424424e+00
2.010010010010010006e+01,2.205729484397994433e+00
2.018018018018018012e+01,2.210586760965494779e+00
2.026026026026026017e+01,2.214218949416427051e+00
2.034034034034034022e+01,2.216662773721672863e+00
2.042042042042042027e+01,2.217965915179979763e+00
2.050050050050050032e+01,2.218186281550782901e+00
2.058058058058058037e+01,2.217391192527957244e+00
2.066066066066066043e+01,2.215656491585614507e+00
2.074074074074074048e+01,2.213065594716156159e+00
2.082082082082082053e+01,2.209708486954413242e+00
2.090090090090090058e+01,2.205680677838815384e+00
2.098098098098098063e+01,2.201082127101449348e+00
2.106106106106106068e+01,2.196016151904847558e+00
2.114114114114114074e+01,2.190588326856965473e+00
2.122122122122122079e+01,2.184905387840542446e+00
2.130130130130130084e+01,2.179074150393363052e+00
2.138138138138138089e+01,2.173200452977381847e+00
2.146146146146146094e+01,2.167388134983417647e+00
2.154154154154154099e+01,2.161738058741312862e+00
2.162162162162162105e+01,2.156347184150752661e+00
2.170170170170170110e+01,2.151307703823685191e+00
2.178178178178178115e+01,2.146706245844288929e+00
2.186186186186186120e+01,2.142623150415885913e+00
2.194194194194194125e+01,2.139131825785584251e+00
2.202202202202202130e+01,2.136298187926420677e+00
2.210210210210210136e+01,2.134180187523153638e+00
2.218218218218218141e+01,2.132827426861360731e+00
2.226226226226226146e+01,2.132280868269802010e+00
2.234234234234234151e+01,2.132572634822538671e+00
2.242242242242242156e+01,2.133725903079282560e+00
2.250250250250250161e+01,2.135754886738610914e+00
2.258258258258258167e+01,2.138664909207450116e+00
2.266266266266266172e+01,2.142452562259362647e+00
2.274274274274274177e+01,2.147105947171003226e+00
2.282282282282282182e+01,2.152604993997140337e+00
2.290290290290290187e+01,2.158921853975874328e+00
2.298298298298298192e+01,2.166021359452256156e+00
2.306306306306306197e+01,2.173861545174813781e+00
2.314314314314314203e+01,2.182394224359205381e+00
2.322322322322322208e+01,2.191565612529053908e+00
2.330330330330330213e+01,2.201316991838063064e+00
2.338338338338338218e+01,2.211585408350844162e+00
2.346346346346346223e+01,2.222304394612925282e+00
2.354354354354354228e+01,2.233404709772677688e+00
2.362362362362362234e+01,2.244815089528198637e+00
2.370370370370370239e+01,2.256462998258571329e+00
2.378378378378378244e+01,2.268275375858710419e+00
2.386386386386386249e+01,2.280179372026896356e+00
2.394394394394394254e+01,2.292103061050158264e+00
2.402402402402402259e+01,2.303976130490368757e+00
2.410410410410410265e+01,2.315730537588324367e+00
2.418418418418418270e+01,2.327301127668680358e+00
2.426426426426426275e+01,2.338626209339669249e+00
2.434434434434434280e+01,2.349648081831836599e+00
2.442442442442442285e+01,2.360313510403294401e+00
2.450450450450450290e+01,2.370574146348605638e+00
2.458458458458458296e+01,2.380386888777786147e+00
2.466466466466466301e+01,2.389714185974317395e+00
2.474474474474474306e+01,2.398524274789850974e+00
2.482482482482482311e+01,2.406791357181941926e+00
2.490490490490490316e+01,2.414495713643191266e+00
2.498498498498498321e+01,2.421623753899496911e+00
2.506506506506506327e+01,2.428168005865746437e+00
2.514514514514514332e+01,2.434127044433674225e+00
2.522522522522522337e+01,2.439505362223499230e+00
2.530530530530530342e+01,2.444313184953606388e+00
